bookID,title,authors,language_code,num_pages,publication_date
131,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,eng,240,02/07/2000
132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,eng,336,05/03/2005
133,eBay for Dummies,Marsha Collier,eng,386,10/30/2006
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,eng,260,1/24/2006
137,Starting an eBay Business for Dummies,Marsha Collier,eng,384,9/17/2004
138,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,eng,260,06/06/2006
139,ebay Timesaving Techniques for Dummies,Marsha Collier,eng,391,5/31/2004
140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,eng,864,4/25/2005
141,Ruby Cookbook,Lucas Carlson/Leonard Richardson,eng,873,7/29/2006
142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,eng,240,05/03/2005
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,eng,206,05/03/2005
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,eng,514,01/01/2007
151,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,eng,838,5/31/2004
152,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,eng,960,11/05/2002
153,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,eng,837,1/30/2003
154,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,eng,80,11/26/1965
155,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,eng,803,07/01/2003
156,Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,eng,752,11/23/2004
157,Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,eng,803,8/26/2004
159,Dinner with Anna Karenina,Gloria Goldreich,eng,360,1/28/2006
160,Tolstoy: Anna Karenina,Anthony Thorlby,eng,128,11/26/1987
162,Untouchable,Mulk Raj Anand/E.M. Forster,eng,160,07/03/1990
163,The Untouchable,John Banville,eng,367,6/30/1998
164,The Untouchables,Eliot Ness/Oscar Fraley,eng,256,02/01/1996
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,eng,320,9/27/2005
166,Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,eng,100,1/28/1995
168,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,eng,224,12/20/2000
171,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,eng,216,9/22/2003
177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,eng,48,9/28/1991
180,Wrinkles in Time,George Smoot/Keay Davidson,eng,360,10/01/1994
181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,eng,250,05/01/2002
182,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,eng,32,01/01/2002
201,Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,spa,205,06/01/1984
204,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,eng,367,06/01/1994
205,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,eng,352,01/03/2006
207,Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,eng,320,11/01/2005
208,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,eng,331,03/07/2006
213,New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,eng,244,08/10/2004
214,Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,eng,215,03/08/2005
216,Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,eng,191,08/10/2004
230,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,eng,144,10/03/1990
231,I am Charlotte Simmons,Tom Wolfe,eng,738,8/30/2005
237,Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,eng,48,10/01/2001
244,The Puffin Book of Nonsense Verse,Quentin Blake,eng,287,10/03/1996
245,Henry Miller on Writing,Henry Miller/Thomas H. Moore,eng,217,02/01/1964
247,Quiet Days in Clichy,Henry Miller,eng,154,1/13/1994
249,Tropic of Cancer,Henry Miller/Jiří Níl,eng,318,01/06/1994
250,Tropic of Capricorn,Henry Miller,eng,348,1/13/1994
251,Nexus (The Rosy Crucifixion  #3),Henry Miller,eng,316,1/13/1994
252,Sexus (The Rosy Crucifixion  #1),Henry Miller,eng,506,01/12/1994
253,The Air-Conditioned Nightmare,Henry Miller,eng,292,1/17/1970
264,The Portrait of a Lady,Henry James/Patricia Crick,eng,797,9/30/2003
269,The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,eng,635,1/16/2004
277,Writing,Marguerite Duras,eng,91,05/06/1999
278,The War,Marguerite Duras/Barbara Bray,eng,192,08/01/1994
280,The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,eng,181,03/12/1986
285,Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,eng,178,07/01/1999
288,Kahlil Gibran: His Life and World,Jean Gibran/جبران خليل جبران/Kahlil Gibran,eng,464,04/01/1998
289,The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,eng,102,01/01/1998
290,Jesus the Son of Man,Kahlil Gibran/جبران خليل جبران,eng,216,2/21/1995
291,The Broken Wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,eng,132,03/03/2003
292,Sand and Foam,Kahlil Gibran/جبران خليل جبران,eng,100,6/14/2011
295,Treasure Island,Robert Louis Stevenson,eng,311,9/15/2001
296,Treasure Island,Robert Louis Stevenson/Scott McKowen,eng,213,10/01/2004
297,Treasure Island,Robert Louis Stevenson,eng,245,06/01/2005
298,Treasure Island,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis,eng,64,07/01/2003
299,Treasure Island,Robert Louis Stevenson/Milo Winter,eng,272,09/03/2002
302,Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,eng,232,1/31/2006
313,100 Years of Lynchings,Ralph Ginzburg,eng,270,11/22/1996
324,Cien años de soledad,Gabriel García Márquez,spa,448,01/01/1990
330,On Beyond Zebra!,Dr. Seuss,eng,64,09/12/1955
332,The Wedding Clause,Debbie Raleigh,eng,256,06/07/2005
333,The Zebra Wall,Kevin Henkes,eng,147,2/15/2005
337,El perfume: Historia de un asesino,Patrick Süskind,spa,239,06/01/2002
348,The Door Into Summer,Robert A. Heinlein,eng,304,6/17/1997
350,Stranger in a Strange Land,Robert A. Heinlein,eng,528,10/01/1991
354,To Sail Beyond the Sunset,Robert A. Heinlein,eng,434,06/01/1988
355,Job: A Comedy of Justice,Robert A. Heinlein,eng,439,10/12/1985
356,Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,eng,256,08/08/2006
357,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,eng,307,2/15/1991
359,The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,eng,298,4/26/2005
362,Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,eng,368,12/27/2005
367,Douglas Adams's Starship Titanic,Terry Jones,eng,256,10/27/1998
377,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf,eng,336,07/01/2003
382,The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,eng,72,01/12/2011
385,On Bullshit,Harry G. Frankfurt,eng,67,1/30/2005
386,Another Bullshit Night in Suck City,Nick Flynn,eng,347,09/12/2005
394,Lincoln at Gettysburg: The Words That Remade America,Garry Wills,eng,317,06/12/1993
397,The Gettysburg Address,Abraham Lincoln/Michael McCurdy,eng,32,02/02/1998
399,Underworld,Don DeLillo,eng,827,07/09/1998
400,Libra,Don DeLillo,eng,480,05/01/1991
403,Americana,Don DeLillo,eng,377,07/06/1989
404,Running Dog,Don DeLillo,eng,256,7/17/1989
406,Cosmopolis,Don DeLillo,eng,224,04/06/2004
407,Great Jones Street,Don DeLillo,eng,272,01/01/1994
408,The Names,Don DeLillo,eng,339,7/17/1989
409,Against the Day,Thomas Pynchon,eng,1085,11/21/2006
410,V.,Thomas Pynchon,eng,547,07/05/2005
411,The Crying of Lot 49,Thomas Pynchon,eng,152,04/01/1999
412,Gravity's Rainbow,Thomas Pynchon,eng,784,01/01/2000
413,Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,eng,773,01/03/2004
414,Vineland,Thomas Pynchon,eng,385,09/01/1997
415,Gravity's Rainbow,Thomas Pynchon,eng,776,10/31/2006
416,Slow Learner: Early Stories,Thomas Pynchon,eng,193,4/30/1985
418,Been Down So Long It Looks Like Up To Me,Richard Fariña/Thomas Pynchon,eng,352,8/29/1996
420,The Year of Magical Thinking,Joan Didion,eng,227,10/04/2005
421,The White Album,Joan Didion,eng,222,10/01/1990
422,A Book of Common Prayer,Joan Didion,eng,272,04/11/1995
423,Where I Was From,Joan Didion,eng,240,9/14/2004
424,Slouching Towards Bethlehem,Joan Didion,eng,238,10/01/1990
425,Democracy,Joan Didion,eng,234,4/25/1995
426,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion/John Leonard,eng,1122,10/17/2006
428,Play It As It Lays,Joan Didion/David Thomson,eng,231,11/15/2005
431,The New York Trilogy,Paul Auster/Art Spiegelman/Luc Sante,eng,308,3/28/2006
432,City of Glass (The New York Trilogy  #1),Paul Auster,eng,203,04/07/1987
434,Ghosts (The New York Trilogy  #2),Paul Auster,eng,96,07/07/1987
435,The Locked Room (The New York Trilogy  #3),Paul Auster,eng,179,11/01/1986
444,Pyramids of Montauk: Explorations in Consciousness,Peter Moon/Preston B. Nichols/Nina Helms,eng,256,01/01/1995
446,The Brooklyn Follies,Paul Auster,eng,306,10/17/2006
447,Moon Palace,Paul Auster,eng,320,04/01/1990
453,The Music of Chance,Paul Auster,eng,217,12/01/1991
454,Travels in the Scriptorium,Paul Auster,eng,145,1/23/2007
456,Leviathan,Paul Auster,eng,275,09/01/1993
463,The Red Notebook: True Stories,Paul Auster,eng,104,6/17/2002
466,Timbuktu / Leviathan / Moon Palace,Paul Auster,fre,1075,11/07/2002
475,Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,eng,608,12/27/2005
476,The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb/Glen C. Strathy,eng,211,02/01/2006
477,Collapse of Complex Societies,Joseph A. Tainter,eng,262,3/29/1990
478,Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,eng,544,08/07/2001
481,The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Philip K. Howard,eng,272,1/29/2002
484,Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco,eng,576,9/17/1998
493,My Inventions,Nikola Tesla,eng,88,5/17/2006
494,Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer/William H. Terbo,eng,542,02/01/2001
497,Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa,eng,144,10/01/1994
498,Tesla Papers,Nikola Tesla/David Hatcher Childress,eng,100,12/01/2000
511,Boys of Summer,Julie Elizabeth Leto/Leslie Kelly/Kimberly Raye,eng,249,6/27/2006
515,Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas/Chad Fowler/Andy Hunt,eng,828,10/11/2004
523,Golding's Lord of the Flies (Cliffs Notes),Maureen Kelly/CliffsNotes/William Golding,eng,112,6/13/2000
524,Lord of the Flies,William Golding,eng,6,10/11/2005
531,A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson,eng,397,09/12/2006
534,We Were Not Like Other People,Ephraim Sevela/Antonina W. Bouis,eng,216,01/01/1989
537,The Lovely Bones,Alice Sebold,en-GB,328,06/01/2003
538,The Lovely Bones,Alice Sebold,eng,532,04/01/2004
539,Lovely in Her Bones (Elizabeth MacPherson  #2),Sharyn McCrumb,eng,224,5/13/1990
565,The Zen of CSS Design: Visual Enlightenment for the Web,Dave Shea/Molly E. Holzschlag,eng,296,2/17/2005
570,HTML  XHTML  and CSS (Visual Quickstart Guide),Elizabeth Castro,eng,456,08/01/2006
576,1000 Record Covers,Michael Ochs/Patrick Javault/Ulrike Wasel,mul,575,5/15/2005
597,Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,eng,245,6/13/2006
599,Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,Chuck Klosterman,eng,272,07/02/2004
619,Vice (V  #8),Jane Feather,eng,419,05/02/1996
629,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1),Robert M. Pirsig,eng,540,4/25/2006
639,Once Upon a Cool Motorcycle Dude,Kevin O'Malley/Carol Heyer/Scott Goto,eng,32,04/01/2005
642,Guidebook to Zen and the Art of Motorcycle Maintenance,Ronald L. DiSanto/Thomas J. Steele,en-GB,408,11/19/1990
643,Motorcycle Basics Techbook,John Harold Haynes,eng,222,07/05/2002
650,LOGO Lounge: 2 000 International Identities by Leading Designers,Catharine M. Fishel/Bill Gardner,eng,191,09/01/2004
655,The Death of Ivan Ilych And Other Stories,Leo Tolstoy/Hugh McLean,eng,304,04/01/2003
656,War and Peace,Leo Tolstoy/Henry Gifford/Aylmer Maude/Louise Maude,eng,1392,6/25/1998
658,The Kingdom of God Is Within You,Leo Tolstoy/Constance Garnett,eng,352,09/08/2006
662,Atlas Shrugged,Ayn Rand/Leonard Peikoff,eng,1168,08/01/1999
663,For the New Intellectual: The Philosophy of Ayn Rand,Ayn Rand,eng,224,12/01/1963
664,The Fountainhead,Ayn Rand,eng,752,4/26/2005
665,The Virtue of Selfishness: A New Concept of Egoism,Ayn Rand/Nathaniel Branden,eng,176,11/01/1964
667,Anthem,Ayn Rand,eng,105,12/01/1999
668,We the Living,Ayn Rand/Leonard Peikoff,eng,464,01/01/1996
669,Capitalism: The Unknown Ideal,Ayn Rand/Nathaniel Branden/Alan Greenspan/Robert Hessen,eng,340,7/15/1986
670,Letters of Ayn Rand,Ayn Rand/Michael S. Berliner/Leonard Peikoff,eng,681,02/01/1997
672,Sailing for Dummies,J.J. Isler/Peter Isler,eng,416,06/01/2006
675,Sailing from Byzantium: How a Lost Empire Shaped the World,Colin  Wells,eng,368,7/25/2006
676,Sailing Alone Around the Room: New and Selected Poems,Billy Collins,eng,192,9/17/2002
678,The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories,Christopher Caswell,eng,286,04/01/2004
681,"Natural Cures ""They"" Don't Want You to Know about",Kevin Trudeau,eng,571,01/01/2004
685,The Natural,Bernard Malamud/Kevin Baker,eng,231,07/07/2003
698,Digging to America,Anne Tyler,eng,277,05/02/2006
700,Rereading America: Cultural Contexts for Critical Thinking and Writing,Gary Colombo/Bonnie Lisle,eng,826,1/21/2004
702,Modern Latin America,Thomas E. Skidmore/Peter H. Smith,eng,528,10/07/2004
703,The Plot Against America,Philip Roth,eng,391,9/27/2005
707,Naked Pictures of Famous People,Jon   Stewart,en-GB,164,9/22/1999
759,Collected Stories,Gabriel García Márquez/Gregory Rabassa/J.S. Bernstein,eng,352,5/13/2008
762,Crónica de una muerte anunciada,Gabriel García Márquez,spa,118,10/14/2003
763,Cien años de soledad,Gabriel García Márquez,spa,496,02/07/2006
764,Del amor y otros demonios,Gabriel García Márquez,spa,176,02/07/2006
765,Living to Tell the Tale,Gabriel García Márquez/Edith Grossman,eng,533,10/12/2004
766,Memoria de mis putas tristes,Gabriel García Márquez,spa,112,10/19/2004
771,The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory,Brian Greene,eng,425,09/02/2004
775,Pure and Simple: The Extraordinary Teachings of a Thai Buddhist Laywoman,Upasika Kee Nanayon/Thanissaro Bhikkhu,eng,288,5/15/2005
787,The Mini Rough Guide to London,Rob Humphreys/Beth Chaplin/Rebecca Morrill,eng,363,04/01/2006
793,Best of London (Lonely Planet Best Of),Lonely Planet/Sarah Johnstone/Steve Fallon,eng,128,09/01/2004
797,Lonely Planet Londres,Lonely Planet/Sarah Johnstone/Tom Masters,spa,480,05/01/2006
799,Out to Eat London 2002 (Lonely Planet Out to Eat),Lonely Planet/Mark Honan,eng,295,09/01/2001
815,Three Nights in August: Strategy  Heartbreak  and Joy Inside the Mind of a Manager,H.G. Bissinger,eng,287,04/04/2006
816,Cryptonomicon,Neal Stephenson,eng,1139,11/01/2002
821,Le Réseau Kinakuta (Cryptonomicon  #2),Neal Stephenson,fre,418,3/31/2001
822,The Confusion (The Baroque Cycle  #2),Neal Stephenson,eng,815,6/14/2005
823,Quicksilver (The Baroque Cycle  #1),Neal Stephenson,eng,927,9/21/2004
824,The Cobweb,Neal Stephenson/J. Frederick George,eng,448,5/31/2005
826,The Big U,Neal Stephenson,eng,308,02/06/2001
827,The Diamond Age: Or  A Young Lady's Illustrated Primer,Neal Stephenson/Pedro Jorge Romero,eng,499,05/02/2000
828,Interface,Neal Stephenson/George F. Jewsbury/Stephen  Bury,eng,640,5/31/2005
829,Odalisque (The Baroque Cycle  Vol. 1  Book 3),Neal Stephenson,eng,464,3/28/2006
830,Snow Crash,Neal Stephenson/Guy Abadia,eng,438,08/02/2000
834,Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume II: The Endgame,Dan Harrington/Bill Robertie,eng,450,06/01/2005
835,Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume I: Strategic Play,Dan Harrington/Bill Robertie,eng,381,12/01/2004
840,The Design of Everyday Things,Donald A. Norman,eng,240,9/19/2002
841,Emotional Design: Why We Love (or Hate) Everyday Things,Donald A. Norman,eng,272,05/11/2005
842,The Psychology of Everyday Things,Donald A. Norman,eng,257,6/13/1988
848,No Price Too High: A Pentecostal Preacher Becomes Catholic - The Inspirational Story of Alex Jones as Told to Diane Hanson,Alex C. Jones/Diane M. Hanson/Stephen K. Ray,en-GB,259,4/30/2006
864,The Alchemist,Paulo Coelho/Alan R. Clarke/James Noel Smith,eng,192,05/02/2006
865,The Alchemist,Paulo Coelho/Alan R. Clarke/Özdemir İnce,eng,197,05/01/1993
866,Fullmetal Alchemist  Vol. 9 (Fullmetal Alchemist  #9),Hiromu Arakawa/Akira Watanabe,eng,192,9/19/2006
868,Fullmetal Alchemist  Vol. 3 (Fullmetal Alchemist  #3),Hiromu Arakawa/Akira Watanabe,eng,192,9/13/2005
869,Fullmetal Alchemist  Vol. 8 (Fullmetal Alchemist  #8),Hiromu Arakawa/Akira Watanabe,eng,192,7/18/2006
870,Fullmetal Alchemist  Vol. 1 (Fullmetal Alchemist  #1),Hiromu Arakawa/Akira Watanabe,eng,192,05/03/2005
871,Fullmetal Alchemist  Vol. 4 (Fullmetal Alchemist  #4),Hiromu Arakawa/Akira Watanabe,eng,200,11/08/2005
872,The Illustrated Alchemist: A Fable about Following Your Dream,Paulo Coelho/Alan R. Clarke/Mœbius,eng,198,11/01/1998
873,Fullmetal Alchemist  Vol. 2 (Fullmetal Alchemist  #2),Hiromu Arakawa/Akira Watanabe,eng,192,07/05/2005
880,Pompeii,Robert   Harris,eng,274,11/08/2005
888,The Last Days of Pompeii,Edward Bulwer-Lytton/John Gregory Betancourt,eng,360,12/03/2002
890,Of Mice and Men,John Steinbeck,eng,103,01/08/2002
900,The Game: Penetrating the Secret Society of Pickup Artists,Neil Strauss,eng,464,09/06/2005
902,The Westing Game,Ellen Raskin,eng,182,04/12/2004
903,The Egypt Game,Zilpha Keatley Snyder,eng,215,07/07/2009
929,Memoirs of a Geisha,Arthur Golden,eng,503,11/22/2005
930,Memoirs of a Geisha,Arthur Golden,eng,434,11/15/2005
931,Memoirs of a Geisha,Arthur Golden,eng,497,12/01/2005
932,Memoirs of a Geisha: A Portrait of the Film,David        James/Peggy Mulloy/Rob Marshall/Arthur Golden,eng,144,10/20/2005
